config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0811,Random_50M_150M,15,416,16,2,16,64,1760,24.0300,939.00,41.61,2.2291,0.2496,0.4961,0.8185,0.2465,1.1058,17.1695,39.5,39.5,0,1900.8,4.253,
RND_0812,Random_50M_150M,7,640,16,4,64,32,2752,7.8500,757.00,127.39,4.7060,0.2468,0.5939,0.9495,0.3471,2.7950,51.0490,39.2,40.2,0,1900.8,4.246,
RND_0813,Random_50M_150M,19,608,4,4,64,64,1088,19.5600,1077.00,51.12,2.6619,0.2894,0.4746,0.6833,0.1853,1.2634,15.4105,39.5,40.5,0,1900.8,4.247,
RND_0814,Random_50M_150M,20,576,8,8,64,64,832,7.0900,923.00,141.04,5.2954,0.2394,0.5899,0.8651,0.3505,3.1239,58.0001,39.5,40.2,0,1900.8,4.244,
RND_0815,Random_50M_150M,24,480,1,1,32,64,2080,15.4300,1529.00,64.81,3.5381,0.2648,0.5592,0.9001,0.2944,1.9784,32.5451,39.5,39.5,0,1900.8,4.237,
RND_0816,Random_50M_150M,21,480,4,2,16,16,1888,20.1600,1251.00,49.60,2.7887,0.2817,0.5343,0.8471,0.2526,1.4901,22.0175,39.8,39.5,0,1900.8,4.233,
RND_0817,Random_50M_150M,20,512,12,4,48,48,2080,13.3900,1757.00,74.68,4.0722,0.3201,0.5710,1.0992,0.2508,2.3251,31.9212,38.8,39.5,0,1900.8,4.228,
RND_0818,Random_50M_150M,8,576,12,3,32,64,2784,22.9500,990.00,43.57,2.3408,0.2635,0.4907,0.8624,0.2272,1.1486,16.6193,39.2,39.8,0,1900.8,4.223,
RND_0819,Random_50M_150M,28,608,6,1,48,16,2112,11.2300,2440.00,89.05,5.2005,0.2775,0.6145,0.9579,0.3370,3.1957,54.7678,39.2,40.5,0,1900.8,4.213,
RND_0820,Random_50M_150M,12,512,4,2,32,64,1664,9.8000,562.00,102.04,3.7253,0.2489,0.5908,0.8776,0.3419,2.2008,39.8018,39.8,40.5,0,1900.8,4.209,
RND_0821,Random_50M_150M,23,416,12,4,16,16,1216,23.4700,882.00,42.61,2.2028,0.2553,0.5191,0.8172,0.2638,1.1435,18.1630,39.5,39.5,0,1900.8,4.206,
RND_0822,Random_50M_150M,25,640,4,4,48,64,1184,14.4300,1642.00,69.30,3.7903,0.2815,0.5179,0.8489,0.2364,1.9630,27.9950,39.8,39.8,0,1900.8,4.196,
RND_0823,Random_50M_150M,18,320,8,4,16,64,1696,25.0800,819.00,39.87,2.0550,0.2755,0.5396,0.9105,0.2641,1.1089,16.9573,39.8,40.9,0,1900.8,4.195,
RND_0824,Random_50M_150M,3,608,8,4,32,48,3264,39.7900,430.00,25.13,1.2091,0.3271,0.4208,0.5834,0.0938,0.5088,3.5438,39.2,39.8,0,1900.8,4.191,
RND_0825,Random_50M_150M,19,352,6,6,16,16,1888,21.5900,846.00,46.32,2.2818,0.4718,0.5764,1.0506,0.1046,1.3152,7.4571,39.5,39.8,0,1900.8,4.196,
RND_0826,Random_50M_150M,24,512,12,1,48,16,2624,4.3300,1760.00,230.95,8.9194,0.2955,0.6598,1.0278,0.3643,5.8852,101.5430,39.2,39.8,0,1900.8,4.171,
