protocol,split,variant,target,n,mape,mae,r2,spearman
held_out_order_block,3,architecture,tpot_ms,194,21.437619626522064,13.113717079162598,0.8326979875564575,0.8702015310812925
held_out_order_block,3,architecture,ttft_ms,194,18.09140294790268,182.40138244628906,0.7480956315994263,0.8961903920719669
held_out_order_block,3,architecture,dynamic_energy_per_token_mj,194,30.306339263916016,5.969522476196289,0.8223295211791992,0.8851442025204109
held_out_order_block,3,architecture_temp,tpot_ms,194,9.042716026306152,5.78633975982666,0.9428709149360657,0.9436455071532326
held_out_order_block,3,architecture_temp,ttft_ms,194,8.226557075977325,84.63203430175781,0.8875465989112854,0.9402317034013691
held_out_order_block,3,architecture_temp,dynamic_energy_per_token_mj,194,23.700053989887238,4.7903642654418945,0.8284514546394348,0.9204250266052519
held_out_order_block,3,architecture_voltage_diagnostic,tpot_ms,194,23.806484043598175,14.418313980102539,0.7988184690475464,0.8329145640974598
held_out_order_block,3,architecture_voltage_diagnostic,ttft_ms,194,20.429369807243347,198.60655212402344,0.7023732662200928,0.8688839901303829
held_out_order_block,3,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,194,33.68404805660248,6.626341342926025,0.7955763339996338,0.8623134037054233
held_out_order_block,3,architecture_order_diagnostic,tpot_ms,194,23.077021539211273,11.424166679382324,0.8242824077606201,0.8790110937301517
held_out_order_block,3,architecture_order_diagnostic,ttft_ms,194,18.72241646051407,153.94467163085938,0.7442578673362732,0.9046170155674829
held_out_order_block,3,architecture_order_diagnostic,dynamic_energy_per_token_mj,194,40.13600945472717,6.79203987121582,0.7320821285247803,0.8781623269631388
held_out_order_block,3,architecture_temp_voltage_diagnostic,tpot_ms,194,8.779653906822205,5.8159027099609375,0.946772575378418,0.9638787386809903
held_out_order_block,3,architecture_temp_voltage_diagnostic,ttft_ms,194,8.77087414264679,92.49676513671875,0.8893052935600281,0.9580678099302045
held_out_order_block,3,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,194,24.62773323059082,5.175328731536865,0.8175259828567505,0.9279788637194759
held_out_order_block,4,architecture,tpot_ms,145,24.91047829389572,17.154155731201172,0.7499833703041077,0.973188092761094
held_out_order_block,4,architecture,ttft_ms,145,22.516311705112457,264.9795227050781,0.6365207433700562,0.977215179908342
held_out_order_block,4,architecture,dynamic_energy_per_token_mj,145,31.1691015958786,8.780570030212402,0.7252002358436584,0.9338490001574553
held_out_order_block,4,architecture_temp,tpot_ms,145,9.030462801456451,6.755741596221924,0.9020440578460693,0.9255869933192308
held_out_order_block,4,architecture_temp,ttft_ms,145,8.65924060344696,104.33346557617188,0.8876723051071167,0.9531185572341228
held_out_order_block,4,architecture_temp,dynamic_energy_per_token_mj,145,21.977806091308594,5.3445611000061035,0.8540509939193726,0.9168438041253345
held_out_order_block,4,architecture_voltage_diagnostic,tpot_ms,145,23.209136724472046,16.100343704223633,0.7713550329208374,0.9625184396672616
held_out_order_block,4,architecture_voltage_diagnostic,ttft_ms,145,20.94358801841736,248.0557861328125,0.6733479499816895,0.9757429693586143
held_out_order_block,4,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,145,30.51537573337555,8.598483085632324,0.7304021716117859,0.9291568256967406
held_out_order_block,4,architecture_order_diagnostic,tpot_ms,145,7.593244314193726,5.372738838195801,0.9627899527549744,0.9814388187838475
held_out_order_block,4,architecture_order_diagnostic,ttft_ms,145,6.098247319459915,71.26504516601562,0.9600374698638916,0.9864007502767632
held_out_order_block,4,architecture_order_diagnostic,dynamic_energy_per_token_mj,145,23.171812295913696,5.844840049743652,0.860837996006012,0.9400055109431584
held_out_order_block,4,architecture_temp_voltage_diagnostic,tpot_ms,145,8.646504580974579,6.0222978591918945,0.9422314763069153,0.9470325827142501
held_out_order_block,4,architecture_temp_voltage_diagnostic,ttft_ms,145,7.6388634741306305,88.38227844238281,0.9325382113456726,0.9704957590303067
held_out_order_block,4,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,145,22.275234758853912,5.149386405944824,0.8805782198905945,0.9248149897653912
forward_order,0,architecture,tpot_ms,188,25.55948495864868,17.715492248535156,0.6781867742538452,0.9346970583656163
forward_order,0,architecture,ttft_ms,188,23.47228229045868,277.3232727050781,0.5598377585411072,0.9552609847402663
forward_order,0,architecture,dynamic_energy_per_token_mj,188,34.403640031814575,9.035226821899414,0.66961669921875,0.8946211624559559
forward_order,0,architecture_temp,tpot_ms,188,11.585220694541931,8.456661224365234,0.8587607741355896,0.8795760552786195
forward_order,0,architecture_temp,ttft_ms,188,10.58850809931755,125.35415649414062,0.8282737731933594,0.9266076792616066
forward_order,0,architecture_temp,dynamic_energy_per_token_mj,188,26.135924458503723,5.799155235290527,0.82170569896698,0.8822066544219235
forward_order,0,architecture_voltage_diagnostic,tpot_ms,188,25.857192277908325,18.876928329467773,0.5908167958259583,0.9218152167465866
forward_order,0,architecture_voltage_diagnostic,ttft_ms,188,23.580388724803925,287.50946044921875,0.4992692470550537,0.9430857454547484
forward_order,0,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,188,35.967522859573364,9.525740623474121,0.621071457862854,0.8820170234438068
forward_order,0,architecture_order_diagnostic,tpot_ms,188,13.560929894447327,9.126644134521484,0.8891137838363647,0.9385483940973823
forward_order,0,architecture_order_diagnostic,ttft_ms,188,14.529897272586823,169.56594848632812,0.8152674436569214,0.9511712674129571
forward_order,0,architecture_order_diagnostic,dynamic_energy_per_token_mj,188,32.74620771408081,6.945687294006348,0.7935389280319214,0.8830521598780012
forward_order,0,architecture_temp_voltage_diagnostic,tpot_ms,188,10.661567747592926,7.593694686889648,0.897205650806427,0.9065335872104842
forward_order,0,architecture_temp_voltage_diagnostic,ttft_ms,188,10.090485215187073,119.025390625,0.8585523366928101,0.9407975264864549
forward_order,0,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,188,26.02381408214569,5.627462387084961,0.8386168479919434,0.8928819754852294
